,d_f_pipeline,d_g_oil,i_g_airline,d_f_pipeline_imputed,d_g_oil_imputed,i_g_airline_imputed,d_f_pipeline_roll5d,d_g_oil_roll5d,i_g_airline_roll5d,d_f_pipeline_imputed_lagg,d_g_oil_imputed_lagg,i_g_airline_imputed_lagg,d_f_pipeline_roll5d_lagg,d_g_oil_roll5d_lagg,i_g_airline_roll5d_lagg
2020-07-03,,-0.16923077461811212,-0.4285714312323502,0.0,-0.16923077461811212,-0.4285714312323502,-0.12500000335276126,-0.20229060165392995,-0.2872698451531304,0.0,-0.0900000050663948,-0.31111111574702793,-0.12500000335276126,-0.22044444735615634,-0.2233737415918188
2020-07-04,,-0.08571428592715945,-0.15000000471870106,0.0,-0.08571428592715945,-0.15000000471870106,-0.06500000096857547,-0.16165568003505962,-0.29060317903283966,0.0,-0.16923077461811212,-0.4285714312323502,-0.12500000335276126,-0.20229060165392995,-0.2872698451531304
2020-07-05,0.30000001192092896,-0.2666666749864817,-0.15000000596046448,0.30000001192092896,-0.2666666749864817,-0.15000000596046448,0.03500000201165676,-0.1723223489219993,-0.2779365128231419,0.0,-0.08571428592715945,-0.15000000471870106,-0.06500000096857547,-0.16165568003505962,-0.29060317903283966
2020-07-06,-0.1600000038743019,-0.2631578978739287,-0.2375000007450581,-0.1600000038743019,-0.2631578978739287,-0.2375000007450581,0.02800000160932541,-0.1749539276944148,-0.25543651168071957,0.30000001192092896,-0.2666666749864817,-0.15000000596046448,0.03500000201165676,-0.1723223489219993,-0.2779365128231419
2020-07-07,-0.14999999850988388,-0.17142857238650322,-0.31000000461935995,-0.14999999850988388,-0.17142857238650322,-0.31000000461935995,-0.0019999980926513673,-0.19123964115843647,-0.255214289455186,-0.1600000038743019,-0.2631578978739287,-0.2375000007450581,0.02800000160932541,-0.1749539276944148,-0.25543651168071957
2020-07-08,,-0.18571429061038155,-0.045454546131870964,0.0,-0.18571429061038155,-0.045454546131870964,-0.0019999980926513673,-0.19453634435689038,-0.17859091243509015,-0.14999999850988388,-0.17142857238650322,-0.31000000461935995,-0.0019999980926513673,-0.19123964115843647,-0.255214289455186
2020-07-09,0.10000000645716983,-0.27272727679122577,-0.16875000204890964,0.10000000645716983,-0.27272727679122577,-0.16875000204890964,0.0180000031987826,-0.23193894252970365,-0.18234091190113183,0.0,-0.18571429061038155,-0.045454546131870964,-0.0019999980926513673,-0.19453634435689038,-0.17859091243509015
2020-07-10,-0.10000000149011612,-0.10000000521540643,-0.35000000645716983,-0.10000000149011612,-0.10000000521540643,-0.35000000645716983,-0.06199999948342642,-0.1986056085754886,-0.2223409120004729,0.10000000645716983,-0.27272727679122577,-0.16875000204890964,0.0180000031987826,-0.23193894252970365,-0.18234091190113183
2020-07-11,,-0.04285714349576405,-0.44285714555354333,0.0,-0.04285714349576405,-0.44285714555354333,-0.029999998708566032,-0.15454545769985567,-0.2634123409621699,-0.10000000149011612,-0.10000000521540643,-0.35000000645716983,-0.06199999948342642,-0.1986056085754886,-0.2223409120004729
2020-07-12,0.4000000059604645,-0.31250000651925797,-0.3913043530090996,0.4000000059604645,-0.31250000651925797,-0.3913043530090996,0.08000000218550364,-0.18275974452640664,-0.2796732106401179,0.0,-0.04285714349576405,-0.44285714555354333,-0.029999998708566032,-0.15454545769985567,-0.2634123409621699
2020-07-13,,-0.10000000074505806,-0.18000000268220898,0.0,-0.10000000074505806,-0.18000000268220898,0.08000000218550364,-0.16561688655334195,-0.30658230195018554,0.4000000059604645,-0.31250000651925797,-0.3913043530090996,0.08000000218550364,-0.18275974452640664,-0.2796732106401179
