date,Value_PHILLIPS 66,Value_BP P.L.C.,Value_VALERO ENERGY CORPORATION,Value_CHEVRON CORPORATION,Value_OCCIDENTAL PETROLEUM CORPORATION,Value_MARATHON OIL CORPORATION,Value_PIONEER NATURAL RESOURCES COMPANY,Value_CONOCOPHILLIPS,Value_EXXON MOBIL CORPORATION,Value_MARATHON PETROLEUM CORPORATION,futures_prev_day_open_interest,lag_Value_PHILLIPS 66,lag_Value_BP P.L.C.,lag_Value_VALERO ENERGY CORPORATION,lag_Value_CHEVRON CORPORATION,lag_Value_OCCIDENTAL PETROLEUM CORPORATION,lag_Value_MARATHON OIL CORPORATION,lag_Value_PIONEER NATURAL RESOURCES COMPANY,lag_Value_CONOCOPHILLIPS,lag_Value_EXXON MOBIL CORPORATION,lag_Value_MARATHON PETROLEUM CORPORATION,lag_d_f_chevron,lag_d_f_drilling,lag_d_f_exxon,lag_d_f_fossil_fuel,lag_d_f_marathon_oil,lag_d_f_occidental_petroleum,lag_d_f_oil,lag_d_f_oilfield,lag_d_f_phillips_66,lag_d_f_valero,lag_d_g_chevron,lag_d_g_drilling,lag_d_g_exxon,lag_d_g_fossil_fuel,lag_d_g_oil,lag_d_g_oilfield,lag_d_g_pipeline,lag_d_g_valero,lag_i_f_airline,lag_i_f_carbon_footprint,lag_i_f_emissions,lag_i_f_epa,lag_i_f_greenhouse,lag_i_f_pollution,lag_i_f_sanction,lag_i_f_solar,lag_i_f_turbine,lag_i_f_vacation,lag_i_g_airline,lag_i_g_carbon_footprint,lag_i_g_emissions,lag_i_g_epa,lag_i_g_greenhouse,lag_i_g_hurricane_storm,lag_i_g_pollution,lag_i_g_sanction,lag_i_g_solar,lag_i_g_turbine,lag_i_g_vacation,lag_futures_settle,lag_crude_usd_per_barrel
2020-03-31,55.08,24.39,48.03,71.95,11.71,3.35,69.35,29.29,38.3,25.31,610071.0,52.32,23.92,45.04,68.78,11.61,3.52,68.65,29.25,36.95,23.15,0.0,-0.13333333532015482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000298023224,0.0,-0.10000000149011612,0.0,0.0,-0.3517241436859657,0.0,-0.1666666716337204,0.0,-0.3636363677003167,0.0,-0.10000000149011612,-0.10000000149011612,0.0,0.0,0.10000000149011612,-0.20000000298023224,0.0,0.0,-0.3500000056810677,0.0,0.0,-0.200000007947286,-0.10000000149011612,0.0,-0.2200000047683716,-0.4250000044703484,-0.4000000059604645,0.0,0.033333336313565574,20.09,14.1
2020-04-01,51.1,24.37,42.03,72.46,10.85,3.18,67.01,30.8,36.49,21.4,627441.0,55.08,24.39,48.03,71.95,11.71,3.35,69.35,29.29,38.3,25.31,0.05000001192092896,0.0,-0.5,-0.350000012665987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,-0.6000000238418579,-0.16875000298023224,0.0,-0.2500000037252903,0.0,-0.3111111182305548,0.0,-0.200000007947286,-0.200000007947286,0.0,0.20000000298023224,-0.4666666636864345,-0.2499999925494194,0.0,0.0,-0.3357142912490027,0.0,0.0,-0.23333332935969034,0.0,0.0,-0.23333332935969034,-0.327272737568075,0.10000000149011612,0.0,-0.10000000149011612,20.48,20.51
2020-04-02,51.11,26.03,43.02,68.56,11.46,3.21,71.58,29.62,38.63,21.86,628603.0,51.1,24.37,42.03,72.46,10.85,3.18,67.01,30.8,36.49,21.4,0.0,-0.30000001192092896,0.0,0.0,0.0,0.0,-0.27469697408378124,0.0,0.0,0.0,0.0,-0.04999999701976776,0.0,0.0,-0.25769231067253995,-0.699999988079071,0.0,0.0,-0.31818182427774777,0.0,-0.10000000149011612,-0.10000000149011612,0.0,0.0,0.0,-0.20000000298023224,0.0,0.0,-0.2588235293241108,0.0,0.0,-0.10000000149011612,0.3999999947845936,0.0,-0.5999999940395355,-0.3666666696468989,0.15000000223517418,0.0,-0.22500000335276127,20.31,20.28
2020-04-03,52.57,24.72,41.88,76.12,13.7,3.63,78.9,32.91,42.07,21.9,634727.0,51.11,26.03,43.02,68.56,11.46,3.21,71.58,29.62,38.63,21.86,0.0,0.3000000007450581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,-0.20000000298023224,-0.30500000417232515,0.0,0.0,0.0,-0.3625000035390258,0.0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.0,-0.22727273065935485,0.0,0.0,0.0,-0.10000000149011612,0.0,-0.5,-0.15000000223517418,0.0,0.0,-0.550000011920929,25.32,25.18
2020-04-16,53.53,21.85,45.0,79.99,12.2,3.89,71.11,31.07,39.15,21.95,203897.0,52.57,24.72,41.88,76.12,13.7,3.63,78.9,32.91,42.07,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.20000000298023224,0.0,-0.20000000298023224,-0.2500000070780516,0.0,0.10000000149011612,0.0,-0.3300000041723251,0.0,0.0,0.0,0.0,0.0,-0.40000000298023225,0.0,0.0,-0.10000000149011612,-0.3842105316488366,0.0,0.0,0.10000000149011612,-0.20000000298023224,-0.10000000149011612,-0.1250000037252903,-0.2000000054637591,0.30000001192092896,0.0,0.0,28.34,28.36
2020-04-17,59.53,23.43,51.76,87.17,13.63,4.35,76.63,35.26,43.22,25.45,148838.0,53.53,21.85,45.0,79.99,12.2,3.89,71.11,31.07,39.15,21.95,0.0,0.0,0.0,0.0,0.0,-0.3000000044703484,0.0,0.0,0.0,0.0,0.10000000894069673,0.20000000298023224,0.0,0.0,-0.3095238134264946,0.0,-0.4000000034769376,0.0,-0.4000000074505806,0.0,-0.20000000670552254,-0.20000000670552254,0.0,0.0,0.0,0.0,0.0,0.0,-0.3166666730410523,0.0,0.0,-0.699999988079071,-0.10000000149011612,0.0,-0.699999988079071,-0.10000000149011612,0.10000000149011612,0.0,-0.30000001192092896,19.87,19.82
2020-04-20,58.12,22.35,50.31,83.57,12.59,4.21,71.28,34.57,41.18,24.85,108593.0,59.53,23.43,51.76,87.17,13.63,4.35,76.63,35.26,43.22,25.45,0.0,0.0,-0.30000001192092896,0.0,0.0,0.0,0.0,-0.699999988079071,0.0,0.0,-0.10000000149011612,0.0,-0.20000000298023224,0.0,-0.10588235451894648,0.0,0.0,0.0,-0.15000000223517418,0.0,0.0,0.0,0.0,0.0,-0.4499999955296517,0.0,0.0,0.0,-0.18461539080509773,0.0,0.0,-0.4000000134110451,-0.10000000149011612,0.0,-0.40000000298023225,-0.5,-0.4000000059604645,0.0,0.4500000029802321,18.27,18.31
2020-04-21,56.8,21.64,49.45,81.64,12.34,4.24,73.47,33.19,40.96,23.72,13044.0,58.12,22.35,50.31,83.57,12.59,4.21,71.28,34.57,41.18,24.85,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612,-0.20000000298023224,0.0,0.0,-0.26666667064030963,0.0,0.0,0.0,-0.3000000044703484,0.0,0.0,-0.3368421108707001,0.0,-0.20000000298023224,0.0,-0.3153846212304555,0.0,-0.15000000223517418,-0.15000000223517418,0.0,0.0,0.0,0.0,0.0,0.0,-0.39333334217468896,0.0,0.0,-0.30000001192092896,0.0,0.0,-0.3666666696468989,0.0,0.10000000149011612,0.0,-0.3000000026077032,-37.63,-36.98
2020-04-22,58.18,23.33,50.57,84.44,13.02,4.53,80.66,34.98,42.13,24.69,460054.0,56.8,21.64,49.45,81.64,12.34,4.24,73.47,33.19,40.96,23.72,0.0,-0.550000011920929,0.0,0.0,0.0,0.0,0.0,-0.4000000059604645,0.0,0.0,0.0,0.0,0.0,-0.20000000298023224,-0.3813559373809121,0.0,0.20000000298023224,0.0,-0.2769230850614034,0.0,0.0,0.0,0.0,-0.4499999955296517,0.0,-0.15000000223517418,0.0,0.0,-0.3400000100334485,0.0,0.0,0.0,-0.19999999925494194,0.0,-0.3428571437086378,-0.8000000119209291,0.0,0.0,-0.15000000223517418,10.01,8.91
2020-04-23,59.97,23.38,52.07,86.8,13.87,4.84,79.31,36.18,43.45,25.94,379358.0,58.18,23.33,50.57,84.44,13.02,4.53,80.66,34.98,42.13,24.69,-0.6000000238418579,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,0.0,0.0,0.0,-0.4000000059604645,-0.3804878107294804,-0.4000000059604645,-0.5,0.0,-0.31000000089406965,0.0,-0.20000000298023224,-0.20000000298023224,-0.20000000298023224,-0.30000001192092896,0.0,-0.4000000059604645,0.0,0.0,-0.3125000037252903,0.4000000059604645,0.4000000059604645,-0.20000000298023224,0.20000000298023224,0.0,-0.2375000091269613,-0.4500000029802321,0.14999999850988388,0.0,0.12500000931322575,13.78,13.64
