Date,Value
2020-07-18,163.8502325581396
2020-07-19,142.9287209302326
2020-07-20,147.79558139534885
2020-07-21,152.1002325581396
2020-07-22,150.89162790697674
2020-07-23,153.09976744186045
2020-07-24,160.21534883720932
2020-07-25,159.5013953488372
2020-07-26,136.97162790697675
2020-07-27,150.2782558139535
2020-07-28,150.45441860465118
2020-07-29,154.82546511627908
2020-07-30,156.33918604651168
2020-07-31,161.9632558139535
2020-08-01,160.06279069767436
2020-08-02,145.2476744186046
2020-08-03,156.31895348837216
2020-08-04,158.6360465116279
2020-08-05,160.4791860465116
2020-08-06,157.73720930232562
2020-08-07,162.76790697674423
2020-08-08,159.71360465116274
2020-08-09,141.29081395348837
2020-08-10,149.57081395348834
2020-08-11,151.86465116279072
2020-08-12,149.28686046511635
2020-08-13,148.4529069767442
