Date,Value,Daily News Sentiment_INT,Daily News Sentiment_NA
2018-03-20,73.99,0.0,0.0
2018-03-21,75.04,0.0,0.0
2018-03-22,73.5,0.0,0.0
2018-03-23,72.89,0.0,0.0
2018-03-26,74.0,0.0,0.0
2018-03-27,73.7,0.0,0.0
2018-03-28,72.81,0.0,0.0
2018-03-29,74.61,-0.2,-0.3
2018-04-02,73.22,0.0,0.0
2018-04-03,75.02,0.1,-0.1
2018-04-04,74.87,0.0,0.0
2018-04-05,76.02,0.0,0.0
2018-04-06,74.87,0.0,0.0
2018-04-09,74.87,0.0,0.0
2018-04-10,77.07,0.0,0.0
2018-04-11,77.43,0.0,0.0
2018-04-12,77.22,-0.2,-0.1
2018-04-13,77.84,0.0,-0.4
2018-04-16,78.54,0.0,0.0
2018-04-17,78.33,0.0,0.0
2018-04-18,79.22,0.0,0.0
2018-04-19,79.42,0.0,0.0
2018-04-20,79.0,0.0,0.4
2018-04-23,79.57,0.0,0.0
2018-04-24,78.35,-0.6,0.0
2018-04-25,79.5,0.0,0.0
2018-04-26,80.86,0.0,0.0
2018-04-27,77.79,0.0,0.0
2018-04-30,77.75,0.0,0.0
2018-05-01,76.95,0.0,0.0
2018-05-02,76.8,0.0,0.0
2018-05-03,76.54,0.0,0.0
2018-05-04,76.9,0.0,0.0
2018-05-07,77.74,0.0,0.0
2018-05-08,78.09,0.0,-0.3
2018-05-09,79.93,-0.3,0.0
2018-05-10,81.72,0.0,0.0
2018-05-11,81.28,0.0,0.0
2018-05-14,81.83,0.0,0.0
2018-05-15,81.79,0.0,0.0
2018-05-16,82.02,0.0,0.0
2018-05-17,81.88,0.0,0.0
2018-05-18,81.3,0.0,0.0
2018-05-21,82.28,0.0,-0.03
2018-05-22,81.64,0.0,0.0
2018-05-23,82.15,0.0,0.0
2018-05-24,80.27,0.0,0.1
2018-05-25,78.71,0.0,0.0
2018-05-29,78.42,0.0,0.0
2018-05-30,81.5,0.0,-0.4
2018-05-31,81.24,0.0,0.0
2018-06-01,81.83,0.0,0.0
2018-06-04,80.97,0.0,0.0
2018-06-05,80.68,0.0,0.0
2018-06-06,82.06,0.0,0.0
2018-06-07,82.88,0.0,-0.2
2018-06-08,83.6,0.0,0.0
2018-06-11,83.1,0.0,0.0
2018-06-12,82.42,0.0,0.17
2018-06-13,81.51,0.3,0.0
2018-06-14,81.89,0.0,0.0
2018-06-15,80.66,0.0,0.0
2018-06-18,80.82,0.0,0.0
2018-06-19,80.7,0.0,0.0
2018-06-20,80.45,0.0,0.0
2018-06-21,79.69,0.0,0.0
2018-06-22,81.38,-0.4,0.0
2018-06-25,79.74,0.0,0.0
2018-06-26,80.64,0.0,0.0
2018-06-27,81.71,0.0,0.0
2018-06-28,81.97,0.0,0.0
2018-06-29,82.73,0.0,0.0
2018-07-02,81.76,0.0,-0.1
2018-07-03,82.24,0.0,0.0
2018-07-05,82.31,0.0,0.0
2018-07-06,82.33,0.0,0.0
2018-07-09,82.9,0.0,0.0
2018-07-10,83.66,0.0,0.0
2018-07-11,82.59,0.0,0.0
2018-07-12,82.69,0.0,-0.1
2018-07-13,83.31,0.0,0.0
2018-07-16,82.49,0.0,0.0
2018-07-17,82.31,0.0,0.0
2018-07-18,82.22,0.0,0.0
2018-07-19,82.01,0.0,0.0
2018-07-20,81.4,0.0,0.0
2018-07-23,81.4,0.0,0.0
2018-07-24,83.01,0.0,0.0
2018-07-25,83.59,0.2,0.0
2018-07-26,84.24,0.0,0.0
2018-07-27,81.92,-0.3,-0.63
2018-07-30,81.74,0.0,0.0
2018-07-31,81.51,-0.1,0.0
2018-08-01,80.39,-0.3,0.0
2018-08-02,79.91,0.0,0.0
2018-08-03,80.2,0.0,-0.4
2018-08-06,80.18,0.0,0.0
2018-08-07,81.27,0.0,0.0
2018-08-08,80.73,0.0,0.0
2018-08-09,80.32,0.0,0.0
