Date,Value_ger_walk,Value_ger_drive,Value_ger_trans,Value_ind_walk,Value_ind_drive,Value_rus_walk,Value_rus_drive,Value_us_walk,Value_us_drive,Value_us_trans,Value_jap_walk,Value_jap_drive,Value_jap_trans
2020-07-29,157.88764705882352,148.29911764705886,161.36888888888888,55.46333333333333,55.39666666666667,154.89249999999998,142.96249999999998,163.17392156862743,161.3235849056604,75.24953488372093,103.00212765957447,110.36446808510637,117.65510638297876
2020-07-30,155.9979411764706,152.71499999999997,163.82944444444445,53.98500000000001,54.211666666666666,153.3075,143.1725,167.1429411764706,167.09773584905665,76.32604651162792,103.28340425531913,110.66765957446809,118.87765957446813
2020-07-31,156.6226470588235,163.66794117647055,168.8311111111111,54.85500000000001,58.0,143.97500000000002,146.905,190.72549019607845,187.05792452830192,81.25302325581397,128.62872340425528,141.8653191489362,147.14893617021275
2020-08-01,164.08794117647062,152.25147058823532,167.21444444444447,51.681666666666665,57.73499999999999,141.845,129.6475,195.08019607843138,186.07641509433958,80.3306976744186,131.70425531914896,150.48872340425532,153.3068085106383
2020-08-02,129.19882352941178,149.42176470588237,167.67777777777775,52.08833333333333,56.581666666666656,144.635,136.675,141.91549019607842,149.5311320754717,68.99674418604651,114.02063829787232,122.7812765957447,130.5059574468085
2020-08-03,157.3770588235294,146.72500000000005,172.44222222222223,55.72666666666668,60.63999999999999,165.955,149.1225,164.62235294117647,160.672641509434,76.03953488372095,113.20468085106383,120.88042553191485,129.10617021276596
2020-08-04,161.4623529411765,147.1655882352941,174.96388888888885,55.21333333333334,57.931666666666665,163.1725,151.935,162.75254901960787,156.95698113207547,73.9660465116279,115.08531914893614,124.5587234042553,131.83106382978724
2020-08-05,162.810294117647,149.47117647058826,176.86888888888885,57.389999999999986,61.83833333333334,167.525,148.8475,170.26137254901957,165.4364150943396,77.05651162790697,117.66872340425533,126.98021276595745,134.78148936170217
2020-08-06,155.2847058823529,150.73117647058825,175.60333333333332,54.995000000000005,60.22166666666667,168.84,150.315,174.71823529411768,170.91773584905658,77.26209302325583,121.89510638297871,132.4472340425532,141.44893617021276
2020-08-07,156.37735294117647,163.25941176470585,173.9105555555555,61.821666666666665,67.08,172.17249999999999,157.1,201.87470588235303,193.58264150943398,83.0493023255814,136.35148936170216,160.05425531914895,162.43234042553192
