Value,Date,Sub-Sector,Super Region,Sub Region 2,Frequency,Country Region,Sub Region 1,Unit,Source,Indicator
-44,12/26/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE
-35,12/26/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,WORKPLACES PERCENT CHANGE FROM BASELINE
-23,12/26/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE
-71,12/25/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE
-36,12/25/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,PARKS PERCENT CHANGE FROM BASELINE
32,12/25/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RESIDENTIAL PERCENT CHANGE FROM BASELINE
-74,12/25/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE
-83,12/25/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,WORKPLACES PERCENT CHANGE FROM BASELINE
-50,12/25/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE
-52,12/24/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE
-48,12/24/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,PARKS PERCENT CHANGE FROM BASELINE
20,12/24/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RESIDENTIAL PERCENT CHANGE FROM BASELINE
-33,12/24/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE
-61,12/24/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,WORKPLACES PERCENT CHANGE FROM BASELINE
11,12/24/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE
-41,12/23/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE
-31,12/23/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,PARKS PERCENT CHANGE FROM BASELINE
14,12/23/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RESIDENTIAL PERCENT CHANGE FROM BASELINE
