date,dow_jones_composite_average,dow_jones_transportation_average,dow_jones_utility_average,dow_jones_industrial_average,s&p_500
2018-12-24,7261.5,8637.15,692.0,21792.2,2351.1
2018-12-26,7592.6,9102.12,703.51,22878.45,2467.7
2018-12-27,7666.84,9154.24,710.89,23138.82,2488.83
2018-12-28,7643.97,9109.13,711.94,23062.4,2485.74
2018-12-31,7710.44,9170.4,712.93,23327.46,2506.85
2019-01-02,7701.2,9202.47,701.04,23346.24,2510.03
2019-01-03,7504.21,8881.49,701.55,22686.22,2447.89
2019-01-04,7741.12,9225.02,711.91,23433.16,2531.94
2019-01-07,7763.19,9296.23,704.45,23531.35,2549.69
2019-01-08,7857.45,9447.85,711.43,23787.45,2574.41
2019-01-09,7897.68,9583.25,707.29,23879.12,2584.96
2019-01-10,7946.79,9624.7,717.04,24001.92,2596.64
2019-01-11,7940.44,9625.25,713.86,23995.95,2596.26
2019-01-14,7893.62,9630.92,695.08,23909.84,2582.61
2019-01-15,7919.1,9557.7,701.69,24065.59,2610.3
2019-01-16,7959.66,9608.3,702.94,24207.16,2616.1
2019-01-17,8027.7,9756.75,705.47,24370.1,2635.96
2019-01-18,8148.46,10012.06,706.65,24706.35,2670.71
2019-01-22,8052.49,9822.22,707.81,24404.48,2632.9
2019-01-23,8079.77,9734.92,714.97,24575.62,2638.7
2019-01-24,8103.86,9842.52,717.96,24553.24,2642.33
2019-01-25,8137.99,9921.78,708.2,24737.2,2664.76
2019-01-28,8091.24,9921.59,704.51,24528.22,2643.85
2019-01-29,8115.68,9967.32,707.15,24579.96,2640.0
2019-01-30,8231.6,10078.7,712.1,25014.86,2681.05
2019-01-31,8252.36,10059.37,727.25,24999.67,2704.1
2019-02-01,8273.63,10123.99,724.66,25063.89,2706.53
2019-02-04,8328.22,10208.61,726.32,25239.37,2724.87
2019-02-05,8371.79,10250.74,727.24,25411.52,2737.7
2019-02-06,8361.56,10229.89,726.3,25390.3,2731.61
2019-02-07,8330.37,10198.06,736.0,25169.53,2706.05
2019-02-08,8320.88,10177.03,739.86,25106.33,2707.88
2019-02-11,8333.83,10304.45,737.69,25053.11,2709.8
2019-02-12,8437.87,10445.27,739.24,25425.76,2744.73
2019-02-13,8467.85,10496.97,737.34,25543.27,2753.03
2019-02-14,8453.13,10537.63,735.43,25439.39,2745.73
2019-02-15,8550.06,10567.69,738.52,25883.25,2775.6
2019-02-19,8570.82,10617.68,743.2,25891.32,2779.76
2019-02-20,8589.99,10627.49,745.94,25954.44,2784.7
2019-02-21,8580.4,10632.49,750.95,25850.63,2774.88
2019-02-22,8618.16,10593.05,757.24,26031.81,2792.67
2019-02-25,8620.28,10585.0,753.05,26091.95,2796.11
2019-02-26,8606.03,10546.47,753.29,26057.98,2793.9
2019-02-27,8583.11,10491.91,754.71,25985.16,2792.38
2019-02-28,8567.61,10467.22,756.34,25916.0,2784.49
2019-03-01,8592.78,10462.04,759.16,26026.32,2803.69
2019-03-04,8544.2,10399.73,761.44,25819.65,2792.81
2019-03-05,8521.44,10314.08,760.33,25806.63,2789.65
2019-03-06,8484.29,10261.16,760.09,25673.46,2771.45
2019-03-07,8429.15,10162.16,762.38,25473.23,2748.93
2019-03-08,8420.47,10116.86,765.3,25450.24,2743.07
2019-03-11,8511.18,10312.92,771.11,25650.88,2783.3
2019-03-12,8491.46,10261.53,776.35,25554.66,2791.52
2019-03-13,8543.86,10367.12,777.23,25702.89,2810.92
2019-03-14,8539.52,10345.54,776.63,25709.94,2808.48
2019-03-15,8563.57,10310.12,779.36,25848.87,2822.48
2019-03-18,8593.47,10414.36,776.77,25914.1,2832.94
2019-03-19,8543.5,10277.32,768.2,25887.38,2832.57
2019-03-20,8492.88,10143.26,770.92,25745.67,2824.23
2019-03-21,8580.07,10285.67,779.35,25962.51,2854.88
2019-03-22,8451.46,10052.3,784.26,25502.32,2800.71
2019-03-25,8442.79,10000.79,784.0,25516.83,2798.36
2019-03-26,8502.52,10107.41,789.51,25657.73,2818.46
2019-03-27,8504.98,10197.64,783.74,25625.59,2805.37
2019-03-28,8530.74,10319.63,774.06,25717.46,2815.44
2019-03-29,8598.46,10407.96,778.72,25928.68,2834.4
2019-04-01,8703.81,10643.65,774.45,26258.42,2867.19
2019-04-02,8686.6,10625.54,775.44,26179.13,2867.24
2019-04-03,8696.55,10642.31,774.85,26218.13,2873.4
2019-04-04,8733.61,10688.4,772.35,26384.63,2879.39
2019-04-05,8765.64,10734.3,780.29,26424.99,2892.74
2019-04-08,8741.79,10744.97,774.8,26341.02,2895.77
2019-04-09,8686.81,10645.42,776.22,26150.58,2878.2
2019-04-10,8693.67,10695.1,773.51,26157.16,2888.21
2019-04-11,8717.36,10785.08,777.47,26143.05,2888.32
2019-04-12,8807.05,10912.19,783.56,26412.3,2907.41
2019-04-15,8779.35,10819.47,782.09,26384.77,2905.58
2019-04-16,8774.82,10826.72,771.69,26452.66,2907.06
2019-04-17,8795.36,10935.6,770.58,26449.54,2900.45
2019-04-18,8830.42,10988.22,772.13,26559.54,2905.03
2019-04-22,8816.58,10977.06,770.94,26511.05,2907.97
2019-04-23,8853.55,11003.09,772.93,26656.39,2933.68
2019-04-24,8869.8,11098.99,776.85,26597.05,2927.25
2019-04-25,8796.57,10845.62,780.38,26462.08,2926.17
2019-04-26,8823.73,10881.77,782.52,26543.33,2939.88
2019-04-29,8800.78,10807.46,777.47,26554.39,2943.03
2019-04-30,8839.52,10847.02,790.0,26592.91,2945.83
2019-05-01,8751.33,10661.57,780.39,26430.14,2923.73
2019-05-02,8750.32,10787.64,777.97,26307.79,2917.52
2019-05-03,8833.84,10958.89,783.1,26504.95,2945.64
2019-05-06,8799.73,10902.01,778.02,26438.48,2932.47
2019-05-07,8654.69,10670.47,775.14,25965.09,2884.05
2019-05-08,8631.4,10638.22,765.94,25967.33,2879.42
2019-05-09,8600.98,10627.37,765.1,25828.36,2870.72
2019-05-10,8640.08,10602.19,777.46,25942.37,2881.4
2019-05-13,8475.82,10305.85,786.63,25324.99,2811.87
2019-05-14,8536.38,10454.97,780.77,25532.05,2834.41
2019-05-15,8563.1,10475.08,780.91,25648.02,2850.96
2019-05-16,8641.82,10605.61,786.32,25862.68,2876.32
